"scenario_index","filename","config_797","config_1135","config_1146","config_1163","mean_cost"
1,"H_O1_n1_2p.jl",NA,NA,NA,NA,NA
2,"H_O1_n1_3p.jl",164,164,164,164,164
3,"H_O1_n1_4p.jl",NA,NA,NA,NA,NA
4,"H_O1_n1_5p.jl",NA,NA,NA,NA,NA
5,"H_O1_n2_2p.jl",NA,NA,NA,NA,NA
6,"H_O1_n2_3p.jl",NA,NA,NA,NA,NA
7,"H_O1_n2_4p.jl",NA,NA,NA,NA,NA
8,"H_O1_n2_5p.jl",NA,NA,NA,NA,NA
9,"H_O1_n3_2p.jl",NA,NA,NA,NA,NA
10,"H_O1_n3_3p.jl",NA,NA,NA,NA,NA
11,"H_O1_n3_4p.jl",132,132,132,132,132
12,"H_O1_n3_5p.jl",NA,NA,NA,NA,NA
13,"H_O1_n4_2p.jl",NA,NA,NA,NA,NA
14,"H_O1_n4_3p.jl",164,164,164,164,164
15,"H_O1_n4_4p.jl",NA,NA,NA,NA,NA
16,"H_O1_n4_5p.jl",115,115,115,115,115
17,"H_O1_n5_2p.jl",NA,NA,NA,NA,NA
18,"H_O1_n5_3p.jl",NA,NA,NA,NA,NA
19,"H_O1_n5_4p.jl",NA,NA,NA,NA,NA
20,"H_O1_n5_5p.jl",NA,NA,NA,NA,NA
21,"H_O2_n1_2p.jl",NA,NA,NA,NA,NA
22,"H_O2_n1_3p.jl",1503,1503,1503,1503,1503
23,"H_O2_n1_4p.jl",NA,NA,NA,NA,NA
24,"H_O2_n1_5p.jl",1288,1288,1288,1288,1288
25,"H_O2_n2_2p.jl",NA,NA,NA,NA,NA
26,"H_O2_n2_3p.jl",1492,1492,1492,1492,1492
27,"H_O2_n2_4p.jl",NA,NA,NA,NA,NA
28,"H_O2_n2_5p.jl",1012,1012,1012,1012,1012
29,"H_O2_n3_2p.jl",2207,2207,2207,2207,2207
30,"H_O2_n3_3p.jl",NA,NA,NA,NA,NA
31,"H_O2_n3_4p.jl",NA,NA,NA,NA,NA
32,"H_O2_n3_5p.jl",1012,1012,1012,1012,1012
33,"H_O2_n4_2p.jl",NA,NA,NA,NA,NA
34,"H_O2_n4_3p.jl",NA,NA,NA,NA,NA
35,"H_O2_n4_4p.jl",NA,NA,NA,NA,NA
36,"H_O2_n4_5p.jl",NA,NA,NA,NA,NA
37,"H_O2_n5_2p.jl",NA,NA,NA,NA,NA
38,"H_O2_n5_3p.jl",NA,NA,NA,NA,NA
39,"H_O2_n5_4p.jl",NA,NA,NA,NA,NA
40,"H_O2_n5_5p.jl",NA,NA,NA,NA,NA
41,"H_O3_n1_2p.jl",NA,NA,NA,NA,NA
42,"H_O3_n1_3p.jl",NA,NA,NA,NA,NA
43,"H_O3_n1_4p.jl",NA,NA,NA,NA,NA
44,"H_O3_n1_5p.jl",NA,NA,NA,NA,NA
45,"H_O3_n2_2p.jl",NA,NA,NA,NA,NA
46,"H_O3_n2_3p.jl",NA,NA,NA,NA,NA
47,"H_O3_n2_4p.jl",NA,NA,NA,NA,NA
48,"H_O3_n2_5p.jl",NA,NA,NA,NA,NA
49,"H_O3_n3_2p.jl",NA,NA,NA,NA,NA
50,"H_O3_n3_3p.jl",NA,NA,NA,NA,NA
51,"H_O3_n3_4p.jl",350,350,350,350,350
52,"H_O3_n3_5p.jl",NA,NA,NA,NA,NA
53,"H_O3_n4_2p.jl",NA,NA,NA,NA,NA
54,"H_O3_n4_3p.jl",NA,NA,NA,NA,NA
55,"H_O3_n4_4p.jl",350,350,350,350,350
56,"H_O3_n4_5p.jl",NA,NA,NA,NA,NA
57,"H_O3_n5_2p.jl",NA,NA,NA,NA,NA
58,"H_O3_n5_3p.jl",NA,NA,NA,NA,NA
59,"H_O3_n5_4p.jl",NA,NA,NA,NA,NA
60,"H_O3_n5_5p.jl",NA,NA,NA,NA,NA
