table_num,beta,scenario,order,p,t_MILP,s_MILP,time_MILP,t_SSM_SA,s_SSM_SA,time_SSM_SA,t_SA,s_SA,time_SA,t_GRASP,s_GRASP,time_GRASP,t_GA,s_GA,time_GA
8,3,5,1,2,B 176 (F 213),*,*,213,7,1880,213,7,6.97,222,10,0.11,216,8,15.58
8,3,5,1,3,146,6,25826,146,6,1849,146,6,7.15,158,10,0.11,146,6,15.98
8,3,5,1,4,111,5,1733,114,6,525,117,7,7.37,122,8,0.11,117,7,16.62
8,3,5,1,5,92,5,668,103,7,239,95,6,7.31,109,9,0.03,100,7,17.23
8,3,5,2,2,B 1654 (F 2183),*,*,2183,8,1863,2183,8,7.78,2193,11,0.03,2183,8,20.08
8,3,5,2,3,B 1168 (F 1464),*,*,1464,8,1922,1467,9,7.81,1478,10,0.03,1468,8,20.67
8,3,5,2,4,B 916 (F 1103),*,*,1119,9,1381,1109,9,8.12,1133,11,0.04,1113,10,19.77
8,3,5,2,5,B 865 (F 890),*,*,948,9,260,901,10,8.37,922,11,0.03,903,10,19.97
8,3,5,3,2,B 455 (F 643),*,*,643,8,1891,643,8,7.15,650,10,0.11,643,8,17.29
8,3,5,3,3,B 329 (F 435),*,*,435,7,1913,438,8,7.31,449,11,0.13,437,8,18.04
8,3,5,3,4,B 288 (F 331),*,*,335,7,1850,332,6,7.67,347,11,0.03,335,8,18.34
8,3,5,3,5,269,7,11461,280,8,609,277,7,7.76,289,11,0.03,277,7,18.88
