table_num,beta,scenario,order,p,t_MILP,s_MILP,time_MILP,t_SSM_SA,s_SSM_SA,time_SSM_SA,t_SA,s_SA,time_SA,t_GRASP,s_GRASP,time_GRASP,t_GA,s_GA,time_GA,t_G,s_G,time_G
9,6,1,1,2,233,6,6,233,6,127,233,6,5.81,233,6,0.02,233,6,27.72,239,7,0.001
9,6,1,1,3,164,6,2,164,6,77,164,6,6.09,164,6,0.02,164,6,29.18,172,7,0.001
9,6,1,1,4,137,6,4,137,6,62,137,6,6.39,137,6,0.02,137,6,30.96,143,7,0.001
9,6,1,1,5,119,5,0.4,**,**,**,125,6,6.85,125,6,0.02,125,6,32.7,125,6,0.001
9,6,1,2,2,2212,8,6,2212,8,112,2212,8,6.33,2212,8,0.02,2212,8,27.59,2222,8,0.001
9,6,1,2,3,1503,8,9,1503,8,91,1503,8,6.3,1503,8,0.02,1503,8,29.28,1503,8,0.001
9,6,1,2,4,1288,8,5,1288,8,58,1288,8,6.77,1288,8,0.02,1288,8,31.15,1288,8,0.001
9,6,1,2,5,1288,8,13,**,**,**,1288,8,7.24,1288,8,0.02,1288,8,32.92,1288,8,0.001
9,6,1,3,2,664,7,101,664,7,287,664,7,6.39,670,8,0.03,664,7,29.98,688,9,0.001
9,6,1,3,3,470,9,125,472,8,227,470,9,6.66,476,9,0.03,470,9,31.2,490,9,0.001
9,6,1,3,4,362,7,21,380,8,116,368,8,6.68,368,8,0.02,368,8,32.89,376,8,0.001
9,6,1,3,5,332,8,25,**,**,**,336,8,7.09,336,8,0.02,336,8,34.54,338,9,0.001
