table_num,beta,scenario,order,p,t_MILP,s_MILP,time_MILP,t_SSM_SA,s_SSM_SA,time_SSM_SA,t_SA,s_SA,time_SA,t_GRASP,s_GRASP,time_GRASP,t_GA,s_GA,time_GA,t_G,s_G,time_G
4,3,1,1,2,215,6,7,215,6,142,215,6,6.8,215,6,0.09,215,6,13.69,227,8,0.001
4,3,1,1,3,146,6,3,146,6,80,146,6,6.71,146,6,0.02,146,6,14.33,169,7,0.001
4,3,1,1,4,119,6,5,119,6,61,119,6,6.63,119,6,0.02,119,6,15.06,135,7,0.001
4,3,1,1,5,104,5,1,**,**,**,107,6,6.97,107,6,0.02,107,6,15.99,133,8,0.001
4,3,1,2,2,2188,8,6,2188,8,116,2188,8,6.19,2188,8,0.02,2188,8,13.75,2216,8,0.001
4,3,1,2,3,1479,8,12,1483,8,95,1479,8,6.11,1479,8,0.02,1479,8,14.34,1551,8,0.001
4,3,1,2,4,1264,8,4,1264,8,61,1264,8,6.51,1264,8,0.02,1264,8,15.31,1264,8,0.001
4,3,1,2,5,1264,8,10,**,**,**,1264,8,7,1264,8,0.02,1264,8,16.19,1264,8,0.001
4,3,1,3,2,643,7,140,646,8,299,643,7,6.81,647,9,0.03,643,7,14.81,677,9,0.001
4,3,1,3,3,443,9,124,449,9,244,443,9,6.81,451,9,0.03,443,9,15.19,460,8,0.001
4,3,1,3,4,341,7,23,352,8,118,343,9,6.81,343,9,0.02,343,9,16.02,389,9,0.001
4,3,1,3,5,308,8,19,**,**,**,311,9,7.18,311,9,0.02,311,9,16.91,321,9,0.001
5,3,2,1,2,213,7,171,213,7,508,213,7,6.57,217,8,0.1,213,7,13.93,,,
5,3,2,1,3,146,6,43,146,6,219,146,6,6.66,146,6,0.1,146,6,14.55,,,
5,3,2,1,4,118,7,96,122,7,111,118,7,6.73,119,7,0.02,118,7,15.2,,,
5,3,2,1,5,104,5,1,**,**,**,107,6,7,107,6,0.1,107,6,16.05,,,
5,3,2,2,2,2183,8,234,2183,8,397,2183,8,6.99,2183,8,0.03,2183,8,16.63,,,
5,3,2,2,3,1467,8,160,1468,8,268,1468,8,6.82,1476,9,0.03,1468,8,17,,,
5,3,2,2,4,1120,8,40,1208,8,96,1120,8,7.22,1126,9,0.04,1120,8,16.89,,,
5,3,2,2,5,991,7,4,**,**,**,991,7,7.57,994,8,0.11,991,7,17.75,,,
5,3,2,3,2,643,8,5782,643,8,1482,643,8,7.03,650,10,0.03,643,8,15.68,,,
5,3,2,3,3,435,7,4999,438,8,680,438,8,6.95,441,9,0.03,435,7,15.99,,,
5,3,2,3,4,332,6,603,332,6,245,332,7,6.92,338,8,0.03,332,7,16.6,,,
5,3,2,3,5,280,8,105,296,8,114,280,8,7.21,290,10,0.03,280,8,17.42,,,
6,3,3,1,2,213,7,1435,213,7,1478,213,7,7.07,219,9,0.03,213,7,15.06,,,
6,3,3,1,3,146,6,278,146,6,545,146,6,7.28,155,9,0.03,146,6,15.74,,,
6,3,3,1,4,114,6,82,119,6,169,114,6,7.51,120,8,0.11,116,6,16.39,,,
6,3,3,1,5,104,5,1,104,5,102,107,6,7.66,113,8,0.11,107,6,17.18,,,
